200-40 nm Band,
351,0.00024
352,0.00023
353,0.00022
354,0.00021
355,0.00021
356,0.0002
357,0.0002
358,0.00019
359,0.00019
360,0.00018
361,0.00018
362,0.00017
363,0.00017
364,0.00016
365,0.00016
366,0.00015
367,0.00015
368,0.00015
369,0.00014
370,0.00014
371,0.00014
372,0.00013
373,0.00013
374,0.00013
375,0.00013
376,0.00012
377,0.00012
378,0.00012
379,0.00011
380,0.00011
381,0.00011
382,0.00011
383,0.0001
384,0.0001
385,0.0001
386,0.0001
387,0.0001
388,0.00009
389,0.00009
390,0.00009
391,0.00009
392,0.00009
393,0.00008
394,0.00008
395,0.00008
396,0.00008
397,0.00008
398,0.00008
399,0.00008
400,0.00007
401,0.00007
402,0.00007
403,0.00007
404,0.00007
405,0.00007
406,0.00007
407,0.00007
408,0.00007
409,0.00006
410,0.00006
411,0.00006
412,0.00006
413,0.00006
414,0.00006
415,0.00006
416,0.00006
417,0.00006
418,0.00005
419,0.00005
420,0.00005
421,0.00005
422,0.00005
423,0.00005
424,0.00005
425,0.00005
426,0.00005
427,0.00005
428,0.00005
429,0.00005
430,0.00005
431,0.00004
432,0.00004
433,0.00004
434,0.00004
435,0.00004
436,0.00004
437,0.00004
438,0.00004
439,0.00004
440,0.00004
441,0.00004
442,0.00004
443,0.00004
444,0.00004
445,0.00004
446,0.00004
447,0.00004
448,0.00004
449,0.00004
450,0.00003
451,0.00003
452,0.00003
453,0.00003
454,0.00003
455,0.00003
456,0.00003
457,0.00003
458,0.00003
459,0.00003
460,0.00003
461,0.00003
462,0.00003
463,0.00003
464,0.00003
465,0.00003
466,0.00003
467,0.00003
468,0.00003
469,0.00003
470,0.00003
471,0.00003
472,0.00003
473,0.00003
474,0.00003
475,0.00003
476,0.00003
477,0.00002
478,0.00002
479,0.00002
480,0.00002
481,0.00002
482,0.00002
483,0.00002
484,0.00002
485,0.00002
486,0.00002
487,0.00002
488,0.00002
489,0.00002
490,0.00002
491,0.00002
492,0.00002
493,0.00002
494,0.00002
495,0.00002
496,0.00002
497,0.00002
498,0.00002
499,0.00002
500,0.00002
501,0.00002
502,0.00002
503,0.00002
504,0.00002
505,0.00002
506,0.00002
507,0.00002
508,0.00002
509,0.00002
510,0.00002
511,0.00002
512,0.00002
513,0.00002
514,0.00002
515,0.00002
516,0.00002
517,0.00002
518,0.00002
519,0.00002
520,0.00002
521,0.00002
522,0.00002
523,0.00002
524,0.00002
525,0.00001
526,0.00001
527,0.00001
528,0.00001
529,0.00001
530,0.00001
531,0.00001
532,0.00001
533,0.00001
534,0.00001
535,0.00001
536,0.00001
537,0.00001
538,0.00001
539,0.00001
540,0.00001
541,0.00001
542,0.00001
543,0.00001
544,0.00001
545,0.00001
546,0.00001
547,0.00001
548,0.00001
549,0.00001
550,0.00001
551,0.00001
552,0.00001
553,0.00001
554,0.00001
555,0.00001
556,0.00001
557,0.00001
558,0.00001
559,0.00001
560,0.00001
561,0.00001
562,0.00001
563,0.00001
564,0.00001
565,0.00001
566,0.00001
567,0.00001
568,0.00001
569,0.00001
570,0.00001
571,0.00001
572,0.00001
573,0.00001
574,0.00001
575,0.00001
576,0.00001
577,0.00001
578,0.00001
579,0.00001
580,0.00001
581,0.00001
582,0.00001
583,0.00001
584,0.00001
585,0.00001
586,0.00001
587,0.00001
588,0.00001
589,0.00001
590,0.00001
591,0.00001
592,0.00001
593,0.00001
594,0.00001
595,0.00001
596,0.00001
597,0.00001
598,0.00001
599,0.00001
600,0.00001
601,0.00001
602,0.00001
603,0.00001
604,0.00001
605,0.00001
606,0.00001
607,0.00001
608,0.00001
609,0.00001
610,0.00001
611,0.00001
612,0.00001
613,0.00001
614,0.00001
615,0.00001
616,0.00001
617,0.00001
618,0.00001
619,0.00001
620,0.00001
621,0.00001
622,0.00001
623,0.00001
624,0.00001
625,0.00001
626,0.00001
627,0.00001
628,0.00001
629,0.00001
630,0.00001
631,0.00001
632,0.00001
633,0.00001
634,0.00001
635,0.00001
636,0.00001
637,0.00001
638,0.00001
639,0.00001
640,0.00001
641,0.00001
642,0.00001
643,0.00001
644,0.00001
645,0.00001
646,0.00001
647,0.00001
648,0.00001
649,0.00001
650,0.00001
651,0.00001
652,0.00001
653,0.00001
654,0.00001
655,0.00001
656,0.00001
657,0.00001
658,0.00001
659,0.00001
660,0.00001
661,0.00001
662,0.00001
663,0.00001
664,0.00001
665,0.00001
666,0.00001
667,0.00001
668,0.00001
669,0.00001
670,0.00001
671,0.00001
672,0.00001
673,0.00001
674,0.00001
675,0.00001
676,0.00001
677,0.00001
678,0.00001
679,0.00001
680,0.00001
681,0.00001
682,0.00001
683,0.00001
684,0.00001
685,0.00001
686,0.00001
687,0.00001
688,0.00001
689,0.00001
690,0.00001
691,0.00001
692,0.00001
693,0.00001
694,0.00001
695,0.00001
696,0.00001
697,0.00001
698,0.00001
699,0.00001
700,0.00001
701,0.00001
702,0.00001
703,0.00001
704,0.00001
705,0.00001
706,0.00001
707,0.00001
708,0.00001
709,0.00001
710,0.00001
711,0.00001
712,0.00001
713,0.00001
714,0.00001
715,0.00001
716,0.00001
717,0.00001
718,0.00001
719,0.00001
720,0.00001
721,0.00001
722,0.00001
723,0.00001
724,0.00001
725,0.00001
726,0.00001
727,0.00001
728,0.00001
729,0.00001
730,0.00001
731,0.00001
732,0.00001
733,0.00001
734,0.00001
735,0.00001
736,0.00001
737,0.00001
738,0.00001
739,0.00001
740,0.00001
741,0.00001
742,0.00001
743,0.00001
744,0.00001
745,0.00001
746,0.00001
747,0.00001
748,0.00001
749,0.00001
750,0.00001
751,0.00001
752,0.00001
753,0.00001
754,0.00001
755,0.00001
756,0.00001
757,0.00001
758,0.00001
759,0.00001
760,0.00001
761,0.00001
762,0.00001
763,0.00001
764,0.00001
765,0.00001
766,0.00001
767,0.00001
768,0.00001
769,0.00001
770,0.00001
771,0.00001
772,0.00001
773,0.00001
774,0.00001
775,0.00001
776,0.00001
777,0.00001
778,0.00001
779,0.00001
780,0.00001
781,0.00001
782,0.00001
783,0.00001
784,0.00001
785,0.00001
786,0.00001
787,0.00001
788,0.00001
789,0.00001
790,0.00001
791,0.00002
792,0.00002
793,0.00002
794,0.00002
795,0.00002
796,0.00002
797,0.00002
798,0.00002
799,0.00002
800,0.00002
801,0.00002
802,0.00002
803,0.00002
804,0.00002
805,0.00002
806,0.00002
807,0.00002
808,0.00002
809,0.00002
810,0.00002
811,0.00002
812,0.00002
813,0.00003
814,0.00003
815,0.00003
816,0.00003
817,0.00003
818,0.00003
819,0.00003
820,0.00003
821,0.00003
822,0.00003
823,0.00003
824,0.00003
825,0.00003
826,0.00004
827,0.00004
828,0.00004
829,0.00004
830,0.00004
831,0.00004
832,0.00004
833,0.00004
834,0.00004
835,0.00004
836,0.00005
837,0.00005
838,0.00005
839,0.00005
840,0.00005
841,0.00005
842,0.00005
843,0.00005
844,0.00006
845,0.00006
846,0.00006
847,0.00006
848,0.00006
849,0.00006
850,0.00006
851,0.00007
852,0.00007
853,0.00007
854,0.00007
855,0.00007
856,0.00007
857,0.00007
858,0.00007
859,0.00007
860,0.00008
861,0.00008
862,0.00008
863,0.00008
864,0.00008
865,0.00008
866,0.00008
867,0.00008
868,0.00009
869,0.00009
870,0.00009
871,0.00009
872,0.00009
873,0.00009
874,0.00009
875,0.00009
876,0.0001
877,0.0001
878,0.0001
879,0.0001
880,0.0001
881,0.0001
882,0.0001
883,0.00011
884,0.00011
885,0.00011
886,0.00011
887,0.00011
888,0.00011
889,0.00012
890,0.00012
891,0.00012
892,0.00012
893,0.00012
894,0.00012
895,0.00013
896,0.00013
897,0.00013
898,0.00013
899,0.00013
900,0.00013
901,0.00013
902,0.00013
903,0.00013
904,0.00013
905,0.00013
906,0.00013
907,0.00013
908,0.00013
909,0.00013
910,0.00013
911,0.00013
912,0.00013
913,0.00013
914,0.00013
915,0.00013
916,0.00013
917,0.00013
918,0.00013
919,0.00013
920,0.00012
921,0.00012
922,0.00012
923,0.00012
924,0.00012
925,0.00012
926,0.00012
927,0.00012
928,0.00012
929,0.00012
930,0.00012
931,0.00012
932,0.00012
933,0.00012
934,0.00012
935,0.00012
936,0.00012
937,0.00012
938,0.00012
939,0.00012
940,0.00012
941,0.00011
942,0.00011
943,0.00011
944,0.00011
945,0.00011
946,0.00011
947,0.00011
948,0.00011
949,0.00011
950,0.00011
951,0.00011
952,0.00011
953,0.00011
954,0.00011
955,0.00011
956,0.0001
957,0.0001
958,0.0001
959,0.0001
960,0.0001
961,0.0001
962,0.0001
963,0.0001
964,0.0001
965,0.0001
966,0.00009
967,0.00009
968,0.00009
969,0.00009
970,0.00009
971,0.00009
972,0.00009
973,0.00009
974,0.00009
975,0.00009
976,0.00009
977,0.00009
978,0.00008
979,0.00008
980,0.00008
981,0.00008
982,0.00008
983,0.00008
984,0.00008
985,0.00008
986,0.00008
987,0.00008
988,0.00008
989,0.00008
990,0.00008
991,0.00008
992,0.00007
993,0.00007
994,0.00007
995,0.00007
996,0.00007
997,0.00007
998,0.00007
999,0.00007
1000,0.00007
1001,0.00007
1002,0.00007
1003,0.00007
1004,0.00007
1005,0.00007
1006,0.00007
1007,0.00007
1008,0.00006
1009,0.00006
1010,0.00006
1011,0.00006
1012,0.00006
1013,0.00006
1014,0.00006
1015,0.00006
1016,0.00006
1017,0.00006
1018,0.00006
1019,0.00006
1020,0.00006
1021,0.00006
1022,0.00006
1023,0.00006
1024,0.00006
1025,0.00006
1026,0.00006
1027,0.00005
1028,0.00005
1029,0.00005
1030,0.00005
1031,0.00005
1032,0.00005
1033,0.00005
1034,0.00005
1035,0.00005
1036,0.00005
1037,0.00005
1038,0.00005
1039,0.00005
1040,0.00005
1041,0.00005
1042,0.00005
1043,0.00005
1044,0.00005
1045,0.00005
1046,0.00005
1047,0.00005
1048,0.00005
1049,0.00005
1050,0.00005
1051,0.00004
1052,0.00004
1053,0.00004
1054,0.00004
1055,0.00004
1056,0.00004
1057,0.00004
1058,0.00004
1059,0.00004
1060,0.00004
1061,0.00004
1062,0.00004
1063,0.00004
1064,0.00004
1065,0.00004
1066,0.00004
1067,0.00004
1068,0.00004
1069,0.00004
1070,0.00004
1071,0.00004
1072,0.00004
1073,0.00004
1074,0.00004
1075,0.00004
1076,0.00004
1077,0.00004
1078,0.00004
1079,0.00004
1080,0.00004
1081,0.00004
1082,0.00004
1083,0.00004
1084,0.00004
1085,0.00003
1086,0.00003
1087,0.00003
1088,0.00003
1089,0.00003
1090,0.00003
1091,0.00003
1092,0.00003
1093,0.00003
1094,0.00003
1095,0.00003
1096,0.00003
1097,0.00003
1098,0.00003
1099,0.00003
1100,0.00003
